test_location,study,part_id,cond,coding_missing,lang_group,study_dom,lang_mix_score,child_dom_lang,lang_per_en,lang_per_fr,lang_per_sp,lang_per_ot,lang_name_ot,lang_per_dom,lang_per_ndom,gender,age_days,meanLT_log,sdLT_log,meanLT,sdLT,N
Montreal,2,P03,switched,1,bilingual,non-dominant,18,English,51,50,NA,0,NA,51,50,female,295,1.4717731003564825,0.6149839321964014,5.3425,4.527414115301203,8
Montreal,2,P04,single,NA,bilingual,dominant,19,English,69,26,NA,6,Italian,69,26,male,251,1.62107644744556,0.6675873677966061,6.203333333333333,4.832708005525129,6
Montreal,2,P04,switched,NA,bilingual,dominant,19,English,69,26,NA,6,Italian,69,26,male,251,1.8872625139483215,0.6472391045924167,7.736666666666666,4.3223681780554815,6
Montreal,1,P08,single,NA,monolingual,dominant,8,French,0,100,NA,0,NA,100,0,female,269,2.086937746477868,0.7581179094501855,10.147142857142857,6.8346024373178045,7
Montreal,1,P08,switched,NA,monolingual,dominant,8,French,0,100,NA,0,NA,100,0,female,269,1.976608109397335,0.5925179018453327,8.4975,5.433777297082179,8
Montreal,2,P08,single,NA,monolingual,dominant,8,French,0,100,NA,0,NA,100,0,female,269,1.9637235697590223,0.518712133900255,7.961666666666667,4.1615642091245775,6
Montreal,2,P08,switched,NA,monolingual,dominant,8,French,0,100,NA,0,NA,100,0,female,269,1.5377088555220675,0.7659717923483187,6.175,5.430156535496928,8
Montreal,1,P09,single,NA,monolingual,dominant,10,French,0,100,NA,0,NA,100,0,female,251,2.279822850410868,0.4365147306989228,10.62625,4.657657098032995,8
Montreal,1,P09,switched,NA,monolingual,dominant,10,French,0,100,NA,0,NA,100,0,female,251,2.0751859817341463,0.6317731606673113,9.50375,6.113607626785163,8
Montreal,1,P12,single,NA,monolingual,dominant,11,English,100,0,NA,0,NA,100,0,male,265,1.6745093389803205,0.5538016774766665,6.16,3.9628314793002914,7
Montreal,1,P12,switched,NA,monolingual,dominant,11,English,100,0,NA,0,NA,100,0,male,265,1.7726449435326799,0.5096544995475798,6.6937500000000005,4.122429718711319,8
Montreal,2,P12,single,NA,monolingual,dominant,11,English,100,0,NA,0,NA,100,0,male,265,1.5734854558484583,0.4208567266679077,5.158571428571428,1.8280903384992453,7
Montreal,2,P12,switched,NA,monolingual,dominant,11,English,100,0,NA,0,NA,100,0,male,265,1.6916763873467606,0.4566525040743443,5.9125,2.5665248878590674,8
Montreal,1,P13,single,NA,monolingual,dominant,2,French,0,100,NA,0,NA,100,0,male,244,1.774206905967007,0.43141417965114603,6.37125,2.583986054252505,8
Montreal,1,P13,switched,NA,monolingual,dominant,2,French,0,100,NA,0,NA,100,0,male,244,2.1930679285773778,0.5305306710483474,9.984,5.015130107983242,5
Montreal,2,P13,single,NA,monolingual,dominant,2,French,0,100,NA,0,NA,100,0,male,244,1.9013405915039858,0.4938539507426601,7.3925,3.3451147748833456,8
Montreal,2,P13,switched,NA,monolingual,dominant,2,French,0,100,NA,0,NA,100,0,male,244,2.081679875851482,0.8597242647936467,10.541666666666666,7.4243125383207476,6
Montreal,1,P14,single,NA,monolingual,dominant,6,French,0,100,NA,0,NA,100,0,female,251,2.3847435684412406,0.6570882053406999,12.655714285714286,6.328061464995572,7
Montreal,1,P14,switched,NA,monolingual,dominant,6,French,0,100,NA,0,NA,100,0,female,251,2.071365979282824,0.6245367791715326,9.432500000000001,5.94937151542677,8
Montreal,2,P14,single,NA,monolingual,dominant,6,French,0,100,NA,0,NA,100,0,female,251,1.63937269293685,0.5637065613875422,5.875,3.0669156213647986,8
Montreal,2,P14,switched,NA,monolingual,dominant,6,French,0,100,NA,0,NA,100,0,female,251,1.6444938181478506,0.5167903072794939,5.75875,2.619707930830676,8
